instance_id,task_count,p50_time_dependent_vehicle_count,p90_robust_vehicle_count,vehicles_added_by_p90_robustness,selected_task_links,internal_deadhead_distance_km,task_service_rate,duplicate_task_assignments,route_type_violations,time_overlap_violations,deadhead_endpoint_violations,missing_selected_link_paths,solver_success,optimality_gap
instance_00018,51,45,47,2,4,0.0,1.0,0,0,0,0,0,True,0.0
instance_00020,41,37,37,0,4,8.52,1.0,0,0,0,0,0,True,0.0
instance_00026,15,11,12,1,3,0.0,1.0,0,0,0,0,0,True,0.0
instance_00055,40,35,35,0,5,149.78,1.0,0,0,0,0,0,True,0.0
instance_00057,50,42,43,1,7,0.0,1.0,0,0,0,0,0,True,0.0
instance_00059,44,40,40,0,4,74.89,1.0,0,0,0,0,0,True,0.0
instance_00061,37,26,27,1,10,175.37,1.0,0,0,0,0,0,True,0.0
instance_00063,59,50,51,1,8,83.57,1.0,0,0,0,0,0,True,0.0
instance_00065,49,38,39,1,10,217.73,1.0,0,0,0,0,0,True,0.0
instance_00067,53,43,43,0,10,418.1,1.0,0,0,0,0,0,True,0.0
instance_00069,52,41,42,1,10,57.150000000000006,1.0,0,0,0,0,0,True,0.0
instance_00071,65,52,53,1,12,168.13,1.0,0,0,0,0,0,True,0.0
instance_00073,56,45,45,0,11,159.61,1.0,0,0,0,0,0,True,0.0
instance_00074,15,9,9,0,6,132.4,1.0,0,0,0,0,0,True,0.0
instance_00075,33,27,29,2,4,27.57,1.0,0,0,0,0,0,True,0.0
instance_00077,53,42,43,1,10,257.67,1.0,0,0,0,0,0,True,0.0
instance_00079,65,43,45,2,20,276.02,1.0,0,0,0,0,0,True,0.0
instance_00081,62,44,47,3,15,688.31,1.0,0,0,0,0,0,True,0.0
instance_00083,47,37,39,2,8,55.14,1.0,0,0,0,0,0,True,0.0
instance_00085,49,37,40,3,9,86.55999999999999,1.0,0,0,0,0,0,True,0.0
instance_00087,47,35,37,2,10,197.61,1.0,0,0,0,0,0,True,0.0
instance_00089,34,26,27,1,7,273.5,1.0,0,0,0,0,0,True,0.0
instance_00091,50,39,40,1,10,315.79,1.0,0,0,0,0,0,True,0.0
instance_00093,52,40,43,3,9,27.57,1.0,0,0,0,0,0,True,0.0
instance_00095,54,40,43,3,11,138.55,1.0,0,0,0,0,0,True,0.0
instance_00097,43,34,35,1,8,209.20999999999998,1.0,0,0,0,0,0,True,0.0
instance_00099,43,39,40,1,3,0.0,1.0,0,0,0,0,0,True,0.0
instance_00101,59,48,49,1,10,161.89,1.0,0,0,0,0,0,True,0.0
instance_00103,40,33,33,0,7,97.09,1.0,0,0,0,0,0,True,0.0
instance_00112,12,8,8,0,4,19.05,1.0,0,0,0,0,0,True,0.0
instance_00152,41,35,36,1,5,56.0,1.0,0,0,0,0,0,True,0.0
instance_00154,38,31,31,0,7,123.50999999999999,1.0,0,0,0,0,0,True,0.0
instance_00156,44,35,36,1,8,285.23,1.0,0,0,0,0,0,True,0.0
instance_00158,35,30,30,0,5,173.11,1.0,0,0,0,0,0,True,0.0
instance_00160,40,31,31,0,9,857.5600000000001,1.0,0,0,0,0,0,True,0.0
instance_00162,44,37,38,1,6,58.989999999999995,1.0,0,0,0,0,0,True,0.0
instance_00164,51,43,44,1,7,152.93,1.0,0,0,0,0,0,True,0.0
instance_00166,45,35,36,1,9,406.67,1.0,0,0,0,0,0,True,0.0
instance_00168,47,35,37,2,10,688.29,1.0,0,0,0,0,0,True,0.0
instance_00170,42,32,33,1,9,1020.7500000000001,1.0,0,0,0,0,0,True,0.0
instance_00172,41,32,32,0,9,105.61,1.0,0,0,0,0,0,True,0.0
instance_00174,35,26,27,1,8,534.82,1.0,0,0,0,0,0,True,0.0
instance_00176,27,16,16,0,11,1205.75,1.0,0,0,0,0,0,True,0.0
instance_00178,16,12,13,1,3,0.0,1.0,0,0,0,0,0,True,0.0
instance_00180,13,7,7,0,6,270.55,1.0,0,0,0,0,0,True,0.0
instance_00182,18,11,12,1,6,380.0,1.0,0,0,0,0,0,True,0.0
instance_00184,13,9,9,0,4,129.02,1.0,0,0,0,0,0,True,0.0
instance_00186,15,10,10,0,5,46.620000000000005,1.0,0,0,0,0,0,True,0.0
instance_00202,14,9,9,0,5,81.42999999999999,1.0,0,0,0,0,0,True,0.0
instance_00208,14,9,9,0,5,62.379999999999995,1.0,0,0,0,0,0,True,0.0
instance_00214,22,10,11,1,11,508.71999999999997,1.0,0,0,0,0,0,True,0.0
instance_00216,17,13,13,0,4,75.05,1.0,0,0,0,0,0,True,0.0
