instance_id,component_id,task_count,linkable_task_count,candidate_link_count,origin_site_count,destination_site_count,historical_vehicle_count,qualifies_for_vrp
instance_00001,component_0001,4,4,3,2,4,4,False
instance_00002,component_0002,3,3,2,2,2,3,False
instance_00003,component_0001,4,3,2,3,4,4,False
instance_00004,component_0001,6,4,3,3,6,6,False
instance_00005,component_0002,2,2,1,2,2,2,False
instance_00006,component_0001,9,5,4,6,8,9,False
instance_00007,component_0002,4,3,3,3,3,4,False
instance_00008,component_0001,11,8,18,7,9,10,False
instance_00009,component_0002,2,0,0,2,2,2,False
instance_00010,component_0001,14,7,15,6,14,14,False
instance_00011,component_0002,4,2,1,3,3,4,False
instance_00012,component_0001,11,5,4,5,11,11,False
instance_00013,component_0002,2,0,0,1,2,2,False
instance_00014,component_0001,11,7,11,6,11,11,False
instance_00015,component_0002,1,0,0,1,1,1,False
instance_00016,component_0001,11,9,22,4,9,11,False
instance_00017,component_0002,1,0,0,1,1,1,False
instance_00018,component_0001,51,23,60,12,42,49,True
instance_00019,component_0002,5,0,0,2,4,5,False
instance_00020,component_0001,41,13,24,10,36,41,True
instance_00021,component_0002,8,5,4,3,6,8,False
instance_00022,component_0001,7,7,6,2,7,7,False
instance_00023,component_0002,5,2,1,3,4,5,False
instance_00024,component_0001,13,7,11,7,12,13,False
instance_00025,component_0002,7,6,8,5,5,7,False
instance_00026,component_0001,15,11,19,9,14,15,True
instance_00027,component_0002,1,0,0,1,1,1,False
instance_00028,component_0001,9,7,10,6,9,8,False
instance_00029,component_0002,1,0,0,1,1,1,False
instance_00030,component_0001,10,9,14,5,10,9,False
instance_00031,component_0002,2,0,0,2,2,2,False
instance_00032,component_0001,11,5,4,6,11,11,False
instance_00033,component_0001,8,5,6,4,7,8,False
instance_00034,component_0001,6,6,11,3,4,6,False
instance_00035,component_0001,9,7,16,6,9,9,False
instance_00036,component_0001,3,2,1,3,3,3,False
instance_00037,component_0001,3,3,3,3,3,3,False
instance_00038,component_0002,1,0,0,1,1,1,False
instance_00039,component_0001,3,2,1,3,3,3,False
instance_00040,component_0001,2,2,1,2,2,2,False
instance_00041,component_0001,2,2,1,2,2,2,False
instance_00042,component_0001,1,0,0,1,1,1,False
instance_00043,component_0001,5,5,9,4,5,5,False
instance_00044,component_0002,1,0,0,1,1,1,False
instance_00045,component_0001,4,4,6,4,4,3,False
instance_00046,component_0002,3,3,3,3,3,3,False
instance_00047,component_0001,7,7,17,5,4,5,False
instance_00048,component_0002,1,0,0,1,1,1,False
instance_00049,component_0001,3,2,1,3,3,3,False
instance_00050,component_0001,6,5,7,3,5,6,False
instance_00051,component_0001,9,6,10,6,8,7,False
instance_00052,component_0002,1,0,0,1,1,1,False
instance_00053,component_0001,8,0,0,4,8,8,False
instance_00054,component_0002,4,4,3,2,4,4,False
instance_00055,component_0001,40,17,23,11,36,40,True
instance_00056,component_0002,3,3,2,2,3,3,False
instance_00057,component_0001,50,24,68,10,36,45,True
instance_00058,component_0002,8,6,5,2,5,8,False
instance_00059,component_0001,44,17,41,9,31,43,True
instance_00060,component_0002,4,3,2,2,4,4,False
instance_00061,component_0001,37,24,129,11,25,33,True
instance_00062,component_0002,8,7,11,3,7,6,False
instance_00063,component_0001,59,29,160,13,36,56,True
instance_00064,component_0002,13,6,8,3,8,13,False
instance_00065,component_0001,49,28,114,12,34,45,True
instance_00066,component_0002,9,5,6,3,7,9,False
instance_00067,component_0001,53,29,111,11,38,50,True
instance_00068,component_0002,11,6,8,2,8,10,False
instance_00069,component_0001,52,28,107,14,37,49,True
instance_00070,component_0002,13,7,10,2,9,13,False
instance_00071,component_0001,65,40,224,13,39,61,True
instance_00072,component_0002,7,0,0,3,4,7,False
instance_00073,component_0001,56,32,170,14,39,52,True
instance_00074,component_0002,15,10,33,5,10,12,True
instance_00075,component_0001,33,19,61,11,25,31,True
instance_00076,component_0002,12,7,12,4,7,12,False
instance_00077,component_0001,53,22,134,11,38,49,True
instance_00078,component_0002,10,7,10,4,9,10,False
instance_00079,component_0001,65,45,409,14,34,57,True
instance_00080,component_0002,10,7,10,3,7,9,False
instance_00081,component_0001,62,36,212,15,37,55,True
instance_00082,component_0002,13,7,12,3,9,13,False
instance_00083,component_0001,47,23,119,13,31,43,True
instance_00084,component_0002,10,6,8,3,9,10,False
instance_00085,component_0001,49,24,104,14,37,45,True
instance_00086,component_0002,10,7,12,4,9,10,False
instance_00087,component_0001,47,26,131,12,32,44,True
instance_00088,component_0002,10,6,9,4,8,10,False
instance_00089,component_0001,34,18,69,10,24,30,True
instance_00090,component_0002,12,6,5,2,7,11,False
instance_00091,component_0001,50,27,138,13,36,47,True
instance_00092,component_0002,9,6,8,3,9,9,False
instance_00093,component_0001,52,27,130,13,37,49,True
instance_00094,component_0002,9,8,10,3,8,9,False
instance_00095,component_0001,54,30,186,11,37,49,True
instance_00096,component_0002,10,6,7,3,8,10,False
instance_00097,component_0001,43,22,81,13,31,41,True
instance_00098,component_0002,6,3,2,3,5,6,False
instance_00099,component_0001,43,17,28,12,36,41,True
instance_00100,component_0002,8,0,0,2,6,7,False
instance_00101,component_0001,59,31,145,15,40,55,True
instance_00102,component_0002,7,3,2,3,5,7,False
instance_00103,component_0001,40,23,65,12,32,37,True
instance_00104,component_0002,5,0,0,3,4,5,False
instance_00105,component_0001,20,4,5,9,14,19,False
instance_00106,component_0002,3,0,0,1,3,3,False
instance_00107,component_0001,1,0,0,1,1,1,False
instance_00108,component_0001,5,5,4,2,5,5,False
